Invoice_ID,Date,Branch,Category,Product_Name,Customer_Type,Gender,Quantity,Unit_Price,Sales,Payment_Method,Cashier,Year,Month,Month_Name
INV100112,2024-01-01,Hodan-Taleex,Personal Care,Body Lotion 200ml,Member,Male,3,2.8,8.4,Evc Plus,Amina Hassan,2024,1,January
INV100223,2024-01-01,Hodan-Taleex,Personal Care,Toothpaste,Member,Female,5,2.14,10.7,Evc Plus,Amina Hassan,2024,1,January
INV100161,2024-01-01,Hamar Weyne,Bakery,White Bread,Regular,Female,5,0.93,4.65,Evc Plus,Khadija Omar,2024,1,January
INV100249,2024-01-01,Hodan-Taleex,Personal Care,Body Lotion 200ml,Regular,Female,3,2.99,8.97,Evc Plus,Mohamed Ali,2024,1,January
INV100115,2024-01-01,Hodan-Taleex,Personal Care,Hand Sanitizer 100ml,Regular,Male,3,1.31,3.93,Evc Plus,Amina Hassan,2024,1,January
INV100002,2024-01-01,Hamar Weyne,Household,Laundry Detergent 1kg,Member,Male,6,3.13,18.78,Evc Plus,Hodan Warsame,2024,1,January
INV100061,2024-01-01,Hodan-Taleex,Beverages,Black Tea Pack,Member,Female,8,1.28,10.24,Cash,Amina Hassan,2024,1,January
INV100201,2024-01-01,Hodan-Taleex,Snacks,Peanuts 200g,Member,Female,2,1.27,2.54,Evc Plus,Abdirahman Nur,2024,1,January
INV100106,2024-01-01,Hamar Weyne,Beverages,Orange Juice 1L,Regular,Female,5,2.06,10.3,Evc Plus,Ahmed Abdi,2024,1,January
INV100240,2024-01-01,Laba Dhagax,Beverages,Sprite 500ml,Member,Male,7,1.07,7.49,Zaad,Yusuf Farah,2024,1,January
INV100243,2024-01-02,Hodan-Taleex,Beverages,Soft Drink Cola 500ml,Regular,Male,2,1.13,2.26,Evc Plus,Amina Hassan,2024,1,January
INV100150,2024-01-02,Hamar Weyne,Bakery,Croissant,Member,Female,8,0.87,6.96,Evc Plus,Ahmed Abdi,2024,1,January
INV100296,2024-01-02,Hodan-Taleex,Bakery,White Bread,Regular,Female,2,0.72,1.44,Evc Plus,Abdirahman Nur,2024,1,January
INV100047,2024-01-02,Hodan-Taleex,Bakery,Croissant,Regular,Male,3,0.91,2.73,Cash,Abdirahman Nur,2024,1,January
INV100301,2024-01-02,Hodan-Taleex,Beverages,Sprite 500ml,Member,Male,5,1.19,5.95,Evc Plus,Fadumo Yusuf,2024,1,January
